X,Y,cluster,name
1,-9.02759690256247,-6.24022771345291,1,P1_A01.1.geno
2,-8.57339700343323,-4.96771650744254,1,P1_A02.1.geno
3,2.92683953071606,-0.153912493377635,2,P1_A03.1.geno
4,3.65490486023388,2.75365208852542,2,P1_A04.1.geno
5,2.59824975153875,-0.833261483472284,2,P1_A05.1.geno
6,4.87467769047685,2.46090491487076,2,P1_A06.1.geno
7,4.13946164144537,1.0469868396942,2,P1_A07.1.geno
8,-3.69826366168119,-0.842959297395544,3,P1_A08.1.geno
9,-3.69826366168208,-0.842959297395517,3,P1_A09.1.geno
10,-8.58044796283819,-4.79813955384866,1,P1_A10.1.geno
11,3.14917955907989,3.92601472251238,2,P1_A11.1.geno
12,-3.69051311133131,-1.06522762699767,3,P1_A12.1.geno
13,-9.02563904795891,-6.23994383676096,1,P1_B01.1.geno
14,0.994207655379895,2.20661848955682,2,P1_B02.1.geno
15,1.33137138336182,-0.580529998373554,2,P1_B03.1.geno
16,-3.69058874582064,-1.06546153530365,3,P1_B04.1.geno
17,4.13495552917821,1.54191830613863,2,P1_B05.1.geno
18,1.2295602387623,2.70242442542799,2,P1_B06.1.geno
19,4.00701594475084,2.19271063217543,2,P1_B07.1.geno
20,1.5648113734016,0.373550415883466,2,P1_B08.1.geno
21,3.72178953269637,3.82947265828733,2,P1_B09.1.geno
22,3.72178953269637,3.82947265828733,2,P1_B10.1.geno
23,3.34312739049238,3.076480524165,2,P1_B11.1.geno
24,3.97020561992098,2.27716388158386,2,P1_B12.1.geno
25,3.13765615655572,-0.956011030727553,2,P1_C01.1.geno
26,-9.02664153447243,-6.2405270952342,1,P1_C02.1.geno
27,0.764976035459668,3.37527337768771,2,P1_C03.1.geno
28,0.987258824655588,2.17177043281175,2,P1_C04.1.geno
29,2.82933193558456,-1.01990654983199,2,P1_C05.1.geno
30,-9.02607673902465,-6.24097859053285,1,P1_C06.1.geno
31,3.97881159329288,2.26280689341032,2,P1_C07.1.geno
32,-3.66609380574763,-0.892963832971754,3,P1_C08.1.geno
33,-9.0280734592893,-6.2408431342386,1,P1_C09.1.geno
34,2.36856322414387,1.91336633722539,2,P1_C10.1.geno
35,1.22633423486798,3.69217034229784,2,P1_C11.1.geno
36,1.33739326064966,2.80618601878004,2,P1_C12.1.geno
37,-9.02732957243432,-6.24062573960896,1,P1_D01.1.geno
38,-9.02757124067232,-6.24024981545559,1,P1_D02.1.geno
39,3.11147201979512,-0.160907417479164,2,P1_D03.1.geno
40,2.78470135272927,3.16177606478711,2,P1_D04.1.geno
41,2.55254174672976,3.98594001877279,2,P1_D05.1.geno
